Agency,nfi_plot,Long,Lat,slope,aspect,elevation,province,ecozone,land_base,land_cover,land_pos,density_cl,stand_stru,succ_stage,wetland_class,veg_type,site_age,site_height,lorey_height,Pct_ABIE,Pct_PICE,Pct_PINU,Pct_PSEU,Pct_THUJCHAM,Pct_TSUG,LoCBH_ABIE,LoCBH_PICE,LoCBH_PINU,LoCBH_PSEU,LoCBH_THUJCHAM,LoCBH_TSUG,Dom_ltp_gen,Dom_ltp_pct,Dom_decid_con,Sec_ltp_gen,Sec_ltp_pct,Sec_decid_con,ltp_con_pct,stree_mean_H,Dom_stp_gen,Dom_stp_pct,LoreyCBH,num_CBH_obs,SFL,CFL,TFL,CBD,stp_CBD,basal_area_standlive,basal_area_standlive_small,basal_area_standlive_total,basal_area_standdead,basal_area_falllive,stem_density_standlive,stem_density_standdead,stem_density_falllive,plotbio_stemwood_live,plotbio_stembark_live,plotbio_branches_live,plotbio_foliage_live,plotbio_stemwood_dead,plotbio_stembark_dead,plotbio_branches_dead,picemar_pct,Larilar_pct,all_stp_fuels_kg_m2,saplings_kg_m2,herbs_kg_m2,mosslichen_kg_m2,size1_2_kg_m2,SPHA,CLAD,FM,Dom_surf,avg_org_thick,TreedPeatland,avg_org_carb,avg_bulk_density_org,BIO1,BIO2,BIO3,BIO4,BIO5,BIO6,BIO7,BIO8,BIO9,BIO10,BIO11,BIO12,BIO13,BIO14,BIO15,BIO16,BIO17,BIO18,BIO19
NFI,634156,-56.26,52.98,18,180,54,NL,Boreal Shield East,V,T,U,OP,SNGL,LS,U,TC,149,8.9,8.8,0,9.89880502228791,0,0,0,0,0,0.547498706639828,0,0,0,0,PICE,0.926,CON,LARI,0.074,DEC,0.93,2.19,PICE,0.703,0.507,5,,1.4383725,2.4620975,,0.0934,9.76,0.966039741,10.726039741,1.45,0,625,50,0,18.19,2.79,6.75,6.94,2.82,0.4,1.25,0.905,0.094,0.2045,0.46315,0.01285,0.47595,0.071775,0.2,0.15,0.2,other,11.95,0,490.2,0.06,-0.2,7.3,0.23,77.41,14.6,-16,30.6,-10.1,1.9,9.5,-10.3,1014,98,64,10,266,231,263,253
NFI,641001,-57.61,53.88,0,999,98,NL,Boreal Shield East,V,T,U,OP,SNGL,LS,U,TC,176,7.9,7.5,3.73203535787791,9.85389988229566,0,0,0,0,2.79625850340136,0.777894932678901,0,0,0,0,PICE,0.812,CON,LARI,0.104,DEC,0.81,2.69,PICE,0.973,1.293,17,,1.6920775,2.7678525,0.2726,0.7602,11.56,9.4758288414,21.0358288414,3.22,0,1125,200,0,18.62,2.99,7.24,9.13,3.55,0.66,0.94,0.873,0.057,2.045,0.50955,0.0014,0.495875,0.06895,0.1,0.022,0.6,3,14.75,0,504.16,0.06,-0.9,8.1,0.23,87.46,16.3,-18.5,34.8,9.9,2,9.9,-12.4,972,99,61,14,286,217,286,223
NFI,641016,-57.15,53.43,0,999,122,NL,Boreal Shield East,V,T,U,OP,SNGL,TS,U,TC,144,8.2,8.1,0,9.98025081183222,0,0,0,0,0,1.45457923730036,0,0,0,0,PICE,1,CON,,0,,1,3.42,PICE,0.927,1.455,24,,1.286085,2.756935,0.1935,0.4322,8.85,7.7086829737,16.5586829737,1.13,0,750,100,0,15.7,2.53,5.37,6.61,1.75,0.28,0.55,0.966,0,1.479,0.59025,0,0.835,0.0456,0.027,0.128,0.51,3,15.8,0,394.17,0.06,-0.6,8,0.23,84.5,16,-17.8,33.8,9.8,2.1,9.8,-11.8,1000,97,64,11,274,228,274,239
NFI,647866,-58.38,54.23,0,999,41,NL,Boreal Shield East,V,T,U,SP,SNGL,TS,U,TC,257,6.9,7,0,3.31903373365536,0,0,0,0,0,0.164755749601216,0,0,0,0,PICE,1,CON,,0,,1,2.73,PICE,1,0.165,1,,0.538555,2.209105,,0.5627,2.62,8.7571895219,11.3771895219,0.7,0,325,100,0,4.27,0.72,1.47,2.08,1.1,0.19,0.35,0.763,0,1.538,0.76665,0,0.7848,0.1191,0.2,0.035,0.4,3,17.2,0,510.2,0.07,-0.5,8.3,0.23,91.47,17.3,-18.6,35.9,10.8,-3.1,10.8,-12.4,894,101,54,21,292,191,292,193
NFI,647876,-58.07,53.96,0,999,159,NL,Taiga Shield East,V,T,U,OP,COMP,TS,U,TC,184,8.3,8,0,12.4980606090977,0,0,0,0,0,0.990632002990892,0,0,0,0,PICE,1,CON,,0,,1,2.06,PICE,0.935,0.991,12,,1.5916475,3.0431225,0.2271,0.6112,8.88,4.398229715,13.278229715,2.36,1.27,700,175,75,17.78,2.84,6.49,7.66,4.17,0.66,1.48,0.978,0,1.258,0.274,0.000125,1.05255,0.1248,0.03,0.093,0.36,3,12.55,0,502.01,0.07,-0.9,8.2,0.23,89.8,16.7,-18.9,35.6,10.2,2,10.2,-12.7,953,102,59,17,295,209,295,212
NFI,647886,-57.76,53.7,0,999,156,NL,Boreal Shield East,V,T,U,OP,SNGL,TS,U,TC,185,7.6,7.7,0.496391274221272,9.18745027074475,0,0,0,0,4,1.39237316439591,0,0,0,0,PICE,0.937,CON,ABIE,0.063,CON,1,2.82,PICE,1,1.556,19,,1.17919,2.30609,0.1919,1.1768,7.9,17.7185825662,25.6185825662,1.5,0.28,800,125,25,13.78,2.29,4.66,6.12,2.2,0.35,0.72,0.901,0,3.322,0.247775,0,0.67035,0.208775,0,0.06,0.5,3,15.4,0,502.88,0.09,-1.3,8.1,0.23,88.85,16,-19.1,35.1,9.6,1.6,9.6,-13,1016,102,65,14,299,227,299,231
NFI,647896,-57.45,53.34,6,330,48,NL,Boreal Shield East,V,T,U,OP,SNGL,TS,U,TC,198,9.4,9.8,0,16.0943595293864,0,0,0,0,0,3.85538016440732,0,0,0,0,PICE,1,CON,,0,,1,2.8,PICE,0.951,3.855,24,,1.6334525,3.0529775,0.2748,0.6027,11.59,9.3933620342,20.9833620342,4.5,0,875,175,0,24.05,3.71,6.08,6.86,8.99,1.27,1.89,0.916,0,1.6875,0.502425,0.0004,0.84605,0.07065,0.065,0.03,0.55,3,32.15,0,436.18,0.07,-0.5,8.1,0.23,86.41,16.3,-18.2,34.5,10.1,2.3,10.1,-12,1001,95,65,12,281,227,281,235
NFI,647926,-56.41,52.44,12,355,198,NL,Boreal Shield East,V,T,U,DE,MULT,TS,U,TC,216,10.9,10.4,9.63915238946871,15.3877171668237,0,0,0,0,2.16541143654114,2.40577407473628,0,0,0,0,PICE,0.711,CON,ABIE,0.289,CON,1,2.03,PICE,0.792,2.336,25,,2.470445,3.374895,0.3064,0.8044,19.32,6.5423667011,25.8623667011,5.71,0,1025,300,0,37.55,5.88,11.02,11.53,8.64,1.54,2.28,0.731,0,1.632,0.105975,0.001375,0.59,0.2071,0.1,0,0.8,3,12.25,0,466.61,0.07,-0.4,7.1,0.23,78.31,14.3,-16.3,30.6,-7.4,1.8,9.5,-10.6,1075,101,68,10,286,243,278,268
NFI,654746,-58.68,54.14,0,999,4,NL,Boreal Shield East,V,T,U,DE,SNGL,LS,U,TC,144,8,8.1,1.77325233836467,14.3291771571507,0,0,0,0,0,0,0,0,0,0,PICE,0.943,CON,ABIE,0.057,CON,1,3.84,PICE,0.98,1.248,21,,1.890585,3.401435,0.2759,0.4571,14.76,12.3111162113,27.0711162113,1.34,0,1425,125,0,26.35,4.3,8.07,10.24,1.56,0.29,0.68,0.911,0,1.7575,0.26565,0.007975,0.93365,0.303575,0.035,0.017,0.43,3,16.8,0,435.7,0.07,-0.8,8.4,0.22,93.37,17.3,-19.4,36.7,10.6,2.3,10.6,-13.1,919,102,56,20,298,198,273,199
NFI,654781,-57.45,53.16,18,130,250,NL,Boreal Shield East,V,T,U,DE,SNGL,LS,U,TC,162,13.6,13.6,2.2672285132335,32.1409668504383,0,0,0,0,2,3.45777292952117,0,0,0,0,PICE,0.993,CON,ABIE,0.007,CON,1,2.05,PICE,0.935,3.447,18,,3.118615,4.184765,0.3072,0.0756,24.36,1.0956304379,25.4556304379,10.04,0,925,400,0,61.33,8.56,13.04,11.34,19.43,3.03,4.95,0.864,0,0.155,0.0908,0.014475,0.498025,0.46285,0.45,0.02,0.35,1,14,0,483.91,0.06,-1.4,7.9,0.23,86.68,15.3,-18.9,34.2,9.3,1.4,9.3,-12.9,1081,102,71,11,301,245,301,253
